site_id,Park,Year,Sample.Station.Label,MAT,ST.DEV MAT,TEMP.MIN,TEMP.MAX,MAP,ST.DEV MAP,PREC.MIN,PRECIP.MAX,ABIELAS1,ANTENNARIA,ARNICA,BRYOPHYTA,ERICACEAE,FUNGI,PLANT,POACEAE,POTENTILLA,SALIX,SIBBPRO,DICOTYLEDONEAE,ASTRAGALUS,CYPERALES,ASTERACEAE,GEUM,PHYLEMP,ASTER,BISTVIV,EREMCAP1,LARIOCC,POTEDIV1,ANTELAN,ARENARIA,ASCOMYCOTA,CAREX,SAXIFRAGA,ACHIMIL,FRAGVIR3,RHODINT1,ANTHOPHYTA,CASTILLEJA,DRYAOCT2,GENTPRP1,PEDICON1,SEDUM,CRASSULACEAE,VERONICA,ANEMPAR,ANTEALP,ERIGAUR,SENECIO,SOLIMUL,DRYAS,MYOSASI,PEDIBRA1,VERONUT,SOLIDAGO,DRABA,ARCTUVA,JUNICOM,VICIA,GENTAMA1,ASTRALP1,SAUSNUD2,VACCSCO,ANEMOCC,CHAMANG,POTEGLU2,VALESIT,OXYTPOD,ERIGPER,ANEMPAT1,ARNIANG,EPILANG,FRAGARIA,HEDYSUL,TROLALB,FRAGVIR,ORTHSEC,CASSMER1,CASTTHO,SENEINT1,EQUISCI,PARMSUL,SENETRI,ERIGCOM,RANUESC,DASIFRU1,EQUIARV,ASTEALP1,VACCCAE,LARILYA,PICEENG,KALMMIC,CARENIG,CARESPE,HIERACIUM,JUNCDRU,LUZUPAR,PEDIBRA,VAHLATR,EPILANA,ERIGGLC1,GAULHUM,ARNIANG4,CALTLEP,CASTRHE,CLAYLAN,VEROWOR1,ARNILAT,LUZUPAR2,HIERGRA,SALICAS,AGOSERIS,ARNIANG1,GENTGLA,TIARTRI2,CALTLEP2,KALMMIC3,AGROSCA,MITENUD,KALMMIC4,AGOSERIS ,TRISSPI,SAXIFRAGACEAE,ERIGERON,BRYOPSIDA,LEPTPYR,PARNPAL,PODAHUM,SALICOM,STELLOG7,CASSMER,LUETPEC,VACCMEM,JUNCMER,TSUGMER,VACCINIUM,VACCOVL,LUPINOO,LUPIARC3,LUZUPIP,FRAGCHI,POA CUS,FRAGVES4,POTEFLA,POLYTRICHUM,BRYOPSIDA ,MICRLYA,PECTPET,MITELLA,FRAGCHI1,ERIGPER2,LUPINOO2,LLOYSER,LLOYSER1,HERAMAX,JUNCPAR,POA CUS2,CLADONIA,ERYTGRA1,LUZUARU1,EPILOBIUM,AGOSGLA1
Assiniboine_T1 P10_2013,Assiniboine,2013,T1 P10,0.571627412,0.562552045,-0.699999988,2,1838.634904,395.1750927,811,3143,0,0,0,0,0,0,0,0,0,40,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assiniboine_T1 P1_2013,Assiniboine,2013,T1 P1,0.571627412,0.562552045,-0.699999988,2,1838.634904,395.1750927,811,3143,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,8,1,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assiniboine_T1 P2_2013,Assiniboine,2013,T1 P2,0.571627412,0.562552045,-0.699999988,2,1838.634904,395.1750927,811,3143,0,4,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,2,20,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assiniboine_T1 P3_2013,Assiniboine,2013,T1 P3,0.571627412,0.562552045,-0.699999988,2,1838.634904,395.1750927,811,3143,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assiniboine_T1 P4_2013,Assiniboine,2013,T1 P4,0.571627412,0.562552045,-0.699999988,2,1838.634904,395.1750927,811,3143,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assiniboine_T1 P5_2013,Assiniboine,2013,T1 P5,0.571627412,0.562552045,-0.699999988,2,1838.634904,395.1750927,811,3143,0,1,0,0,0,0,0,0,0,15,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assiniboine_T1 P6_2013,Assiniboine,2013,T1 P6,0.571627412,0.562552045,-0.699999988,2,1838.634904,395.1750927,811,3143,0,1,0,0,0,0,0,0,0,24,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assiniboine_T1 P7_2013,Assiniboine,2013,T1 P7,0.571627412,0.562552045,-0.699999988,2,1838.634904,395.1750927,811,3143,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,48,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assiniboine_T1 P8_2013,Assiniboine,2013,T1 P8,0.571627412,0.562552045,-0.699999988,2,1838.634904,395.1750927,811,3143,0,0,0,0,0,0,0,0,0,7,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45,1,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assiniboine_T1 P9_2013,Assiniboine,2013,T1 P9,0.571627412,0.562552045,-0.699999988,2,1838.634904,395.1750927,811,3143,0,0,0,0,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
